row,recipient,recipient_line2,ein,city,state,irc_section,cash_amount,noncash_amount,purpose
14819,REAL ESCAPE FROM THE SEX TRADE,,453531020,SEATTLE,WA,501(C)3,14500,,FOR RECIPIENT'S EXEMPT PURPOSE
14820,REAL LIFE CHRISTIAN CHURCH,,954821218,VALENCIA,CA,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
14821,REAL LIFE MINISTRIES,,760056979,ALVIN,TX,501(C)3,95000,,FOR RECIPIENT'S EXEMPT PURPOSE
14822,REAL MEN REAL LEADERS INC,,451835799,GARDEN CITY,KS,501(C)3,8000,,FOR RECIPIENT'S EXEMPT PURPOSE
14823,REAL OPTIONS FOR WOMEN,,752140460,ALLEN,TX,501(C)3,21000,,FOR RECIPIENT'S EXEMPT PURPOSE
14824,REAL PRESENCE RADIO,,450458973,FARGO,ND,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
14825,REAL REALITIES,,208223800,LOS ANGELES,CA,501(C)3,50000,,FOR RECIPIENT'S EXEMPT PURPOSE
14826,REALITY CHANGERS,,263757305,SAN DIEGO,CA,501(C)3,11000,,FOR RECIPIENT'S EXEMPT PURPOSE
14827,REALITY CHURCH OF VENTURA,,822394675,VENTURA,CA,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
14828,REALITY MINISTRIES INC,,261514118,DURHAM,NC,501(C)3,6100,,FOR RECIPIENT'S EXEMPT PURPOSE
14829,REALITY SAN FRANCISCO CHURCH,,800512695,SAN FRANCISCO,CA,501(C)3,186500,,FOR RECIPIENT'S EXEMPT PURPOSE
14830,REALIZE IMPACT,,463594732,BAINBRIDGE IS,WA,501(C)3,1616496,,FOR RECIPIENT'S EXEMPT PURPOSE
14831,REALOPTIONS,,942820673,SAN JOSE,CA,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
14832,REASON FOR OUR HOPE FOUNDATION INC,,201674258,ERIE,PA,501(C)3,11486,,FOR RECIPIENT'S EXEMPT PURPOSE
14833,REASONABLE FAITH INC,,203021684,DALLAS,TX,501(C)3,70600,,FOR RECIPIENT'S EXEMPT PURPOSE
14834,REASONS TO BELIEVE,,330168048,COVINA,CA,501(C)3,48250,,FOR RECIPIENT'S EXEMPT PURPOSE
14835,REBA PLACE CHURCH,,366402244,EVANSTON,IL,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
14836,REBUILD METRO INC,,232671667,BALTIMORE,MD,501(C)3,30000,,FOR RECIPIENT'S EXEMPT PURPOSE
14837,REBUILD UPSTATE,,208296408,GREENVILLE,SC,501(C)3,5500,,FOR RECIPIENT'S EXEMPT PURPOSE
14838,REBUILDING TOGETHER DAYTON INC,,311457626,DAYTON,OH,501(C)3,50000,,FOR RECIPIENT'S EXEMPT PURPOSE
14839,REBUILDING TOGETHER NORTH SUBURBAN CHICAGO,,364111206,GLENVIEW,IL,501(C)3,13000,,FOR RECIPIENT'S EXEMPT PURPOSE
14840,REBUILDING TOGETHER PHILADELPHIA,,232549594,PHILADELPHIA,PA,501(C)3,32500,,FOR RECIPIENT'S EXEMPT PURPOSE
14841,RECIDIVIZ INC,,852039256,SAN FRANCISCO,CA,501(C)3,305000,,FOR RECIPIENT'S EXEMPT PURPOSE
14842,RECLAIM CHILDHOOD INC,,263653081,CAMBRIDGE,MA,501(C)3,40000,,FOR RECIPIENT'S EXEMPT PURPOSE
14843,RECLAIMED HOPE INITIATIVE,,842649694,CHARLOTTESVLE,VA,501(C)3,30578,,FOR RECIPIENT'S EXEMPT PURPOSE
14844,RECLAIMED PROJECT,,460782380,JACKSON,MS,501(C)3,18000,,FOR RECIPIENT'S EXEMPT PURPOSE
14845,RECONCILIATION MINISTRIES NETWORK INC,,621781061,CHATTANOOGA,TN,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
14846,RECONSTRUCTIONIST RABBINICAL COLLEGE,,231710675,WYNCOTE,PA,501(C)3,112600,,FOR RECIPIENT'S EXEMPT PURPOSE
14847,RECOVERY BEYOND,,814040489,ISSAQUAH,WA,501(C)3,50000,,FOR RECIPIENT'S EXEMPT PURPOSE
14848,RECOVERY CAFE,,912158547,SEATTLE,WA,501(C)3,26000,,FOR RECIPIENT'S EXEMPT PURPOSE
14849,RECOVERY COMMUNITY DEVELOPMENT INC,,455453704,BRIDGEPORT,CT,501(C)3,20000,,FOR RECIPIENT'S EXEMPT PURPOSE
