row,recipient,recipient_line2,ein,city,state,irc_section,cash_amount,noncash_amount,purpose
1,10000 DEGREES,,953667812,SAN RAFAEL,CA,501(C)3,39000,,FOR RECIPIENT'S EXEMPT PURPOSE
2,1000 FRIENDS OF OREGON,,930642086,PORTLAND,OR,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
3,101 INC,,237057664,PRINCETON,NJ,501(C)3,30000,,FOR RECIPIENT'S EXEMPT PURPOSE
4,12STONE CHURCH INC,,581744164,LAWRENCEVILLE,GA,501(C)3,9000,,FOR RECIPIENT'S EXEMPT PURPOSE
5,152 COMMONWEALTH FOUNDATION INC,,822467536,BOSTON,MA,501(C)3,28500,,FOR RECIPIENT'S EXEMPT PURPOSE
6,18 CORP,,223764133,LIVINGSTON,NJ,501(C)3,56036,,FOR RECIPIENT'S EXEMPT PURPOSE
7,18 REASONS,,453059509,SAN FRANCISCO,CA,501(C)3,15500,,FOR RECIPIENT'S EXEMPT PURPOSE
8,18 SPRINGS COMMUNITY HEALING CENTER FOUNDATION INC,,842820530,WINSTON SALEM,NC,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
9,180 DEGREES INC,,237153536,MINNEAPOLIS,MN,501(C)3,40000,,FOR RECIPIENT'S EXEMPT PURPOSE
10,1DAY SOONER INC,,851103820,CLAYMONT,DE,501(C)3,125000,,FOR RECIPIENT'S EXEMPT PURPOSE
11,1LOVE4ANIMALS INC,,822314784,SOUTHEASTERN,PA,501(C)3,48000,,FOR RECIPIENT'S EXEMPT PURPOSE
12,2020 VISION YOUTH,,850973105,SAN BERNARDINO,CA,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
13,211 PALM BEACH TREASURE COAST INC,,237153017,LANTANA,FL,501(C)3,64500,,FOR RECIPIENT'S EXEMPT PURPOSE
14,222 FOUNDATION,,824823763,WHEATON,IL,501(C)3,8000,,FOR RECIPIENT'S EXEMPT PURPOSE
15,26 WEST CHURCH,,811993024,HILLSBORO,OR,501(C)3,85600,,FOR RECIPIENT'S EXEMPT PURPOSE
16,3 MARIPOSAS MONTESSORI FOUNDATION INC,,460641130,DOWAGIAC,MI,501(C)3,21975,,FOR RECIPIENT'S EXEMPT PURPOSE
17,350 ORG,,261150699,WASHINGTON,DC,501(C)3,140600,,FOR RECIPIENT'S EXEMPT PURPOSE
