row,recipient,recipient_line2,ein,city,state,irc_section,cash_amount,noncash_amount,purpose
1,10 TALENTS,,81-3144647,WOODINVILLE,WA,501(C)3,11000,,FOR RECIPIENT'S EXEMPT PURPOSE
2,10000 DEGREES,,95-3667812,SAN RAFAEL,CA,501(C)3,51500,,FOR RECIPIENT'S EXEMPT PURPOSE
3,101 INC,,23-7057664,PRINCETON,NJ,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
4,1012 SPORTS INC,,46-2870578,BALTIMORE,MD,501(C)3,17500,,FOR RECIPIENT'S EXEMPT PURPOSE
5,108 PEACE INSTITUTE INC,,99-0473998,BELMONT,MA,501(C)3,225000,,FOR RECIPIENT'S EXEMPT PURPOSE
6,12STONE CHURCH INC,,58-1744164,LAWRENCEVILLE,GA,501(C)3,43610,,FOR RECIPIENT'S EXEMPT PURPOSE
7,152 COMMONWEALTH FOUNDATION INC,,82-2467536,BOSTON,MA,501(C)3,88000,,FOR RECIPIENT'S EXEMPT PURPOSE
8,18 CORP,,22-3764133,LIVINGSTON,NJ,501(C)3,31320,,FOR RECIPIENT'S EXEMPT PURPOSE
9,18 REASONS,,45-3059509,SAN FRANCISCO,CA,501(C)3,26000,,FOR RECIPIENT'S EXEMPT PURPOSE
10,180 DEGREES INC,,23-7153536,SAINT PAUL,MN,501(C)3,21000,,FOR RECIPIENT'S EXEMPT PURPOSE
11,1812 PRODUCTIONS INC,,23-2938464,PHILADELPHIA,PA,501(C)3,21000,,FOR RECIPIENT'S EXEMPT PURPOSE
12,1882 HOUSE FOUNDATION INC,,99-0545183,CHESTNUT HILL,MA,501(C)3,15000,,FOR RECIPIENT'S EXEMPT PURPOSE
13,1888 MESSAGE STUDY COMMITTEE,,02-0417308,BERRIEN SPRGS,MI,501(C)3,15000,,FOR RECIPIENT'S EXEMPT PURPOSE
14,1947 PARTITION ARCHIVE,,45-2669508,BERKELEY,CA,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
15,1960 COMMUNITY HOPE CENTER,,47-4381517,HOUSTON,TX,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
16,19TH NEWS,,84-2627202,AUSTIN,TX,501(C)3,144000,,FOR RECIPIENT'S EXEMPT PURPOSE
17,1DAY SOONER INC,,85-1103820,CLAYMONT,DE,501(C)3,46011,,FOR RECIPIENT'S EXEMPT PURPOSE
18,1LOVE4ANIMALS INC,,82-2314784,SOUTHEASTERN,PA,501(C)3,32500,,FOR RECIPIENT'S EXEMPT PURPOSE
19,1N10 INC,,86-0728990,PHOENIX,AZ,501(C)3,26000,,FOR RECIPIENT'S EXEMPT PURPOSE
20,1ST STEP MALE DIVRSION PROGRAM INC,,30-0934609,TULSA,OK,501(C)3,20000,,FOR RECIPIENT'S EXEMPT PURPOSE
21,2020 VISION YOUTH,,85-0973105,SAN BERNARDINO,CA,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
22,21 WILBERFORCE GLOBAL FREEDOM CENTER,,47-1435259,FALLS CHURCH,VA,501(C)3,7000,,FOR RECIPIENT'S EXEMPT PURPOSE
23,211 PALM BEACH TREASURE COAST INC,,23-7153017,LANTANA,FL,501(C)3,39000,,FOR RECIPIENT'S EXEMPT PURPOSE
24,21C INTERNATIONAL INCORPORATED,,85-2208365,OCOEE,FL,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
25,222 FOUNDATION,,82-4823763,WHEATON,IL,501(C)3,8000,,FOR RECIPIENT'S EXEMPT PURPOSE
26,25 40,,43-2021875,BURKE,VA,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
27,26 WEST CHURCH,,81-1993024,HILLSBORO,OR,501(C)3,52000,,FOR RECIPIENT'S EXEMPT PURPOSE
28,261 FEARLESS INC,,47-4186396,FLANDERS,NJ,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
29,28TWELVE FOUNDATION LTD,,84-2413621,GRANGER,IN,501(C)3,21000,,FOR RECIPIENT'S EXEMPT PURPOSE
30,2ND MILE MISSIONS,,47-2289755,WINONA LAKE,IN,501(C)3,10500,,FOR RECIPIENT'S EXEMPT PURPOSE
31,3 MARIPOSAS MONTESSORI FOUNDATION INC,,46-0641130,DOWAGIAC,MI,501(C)3,28575,,FOR RECIPIENT'S EXEMPT PURPOSE
32,30 MILE RIVER WATERSHED ASSOCIATION,,26-1526329,MOUNT VERNON,ME,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
33,300 CLUB,,99-5008446,SPRING VALLEY,NY,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
34,300 COMMITTEE LAND TRUST INC,,22-2659529,EAST FALMOUTH,MA,501(C)3,20500,,FOR RECIPIENT'S EXEMPT PURPOSE
35,350 BAY AREA,,47-2407547,ALAMEDA,CA,501(C)3,7000,,FOR RECIPIENT'S EXEMPT PURPOSE
36,350 ORG,,26-1150699,BOSTON,MA,501(C)3,100750,,FOR RECIPIENT'S EXEMPT PURPOSE
37,350 SEATTLE,,46-4201865,SEATTLE,WA,501(C)3,5500,,FOR RECIPIENT'S EXEMPT PURPOSE
38,350PDX,,46-4120269,PORTLAND,OR,501(C)3,19500,,FOR RECIPIENT'S EXEMPT PURPOSE
39,350VERMONT,,46-3647561,BURLINGTON,VT,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
40,360 COMMUNITIES,,41-0987708,BURNSVILLE,MN,501(C)3,8100,,FOR RECIPIENT'S EXEMPT PURPOSE
41,3CIRCLE CHURCH,,63-1256311,FAIRHOPE,AL,501(C)3,6500,,FOR RECIPIENT'S EXEMPT PURPOSE
42,3L PLACE INC,,26-4668957,SOMERVILLE,MA,501(C)3,100000,,FOR RECIPIENT'S EXEMPT PURPOSE
43,4 D MINISTRIES,,45-3177621,MONUMENT,CO,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
44,4 PAWS FOR ABILITY INC,,31-1625484,XENIA,OH,501(C)3,30000,,FOR RECIPIENT'S EXEMPT PURPOSE
45,40 DAYS FOR LIFE,,26-0308665,BRYAN,TX,501(C)3,148095,,FOR RECIPIENT'S EXEMPT PURPOSE
46,403BWISE INC,,84-1863475,REDLANDS,CA,501(C)3,200000,,FOR RECIPIENT'S EXEMPT PURPOSE
47,412 FOOD RESCUE INC,,47-3476140,PITTSBURGH,PA,501(C)3,7000,,FOR RECIPIENT'S EXEMPT PURPOSE
48,4222-HUMANITY THROUGH BASEBALL FOUNDATION INC,,90-0544837,BOULDER,CO,501(C)3,30000,,FOR RECIPIENT'S EXEMPT PURPOSE
49,450 BULL STREET FOUNDATION INC,,93-2530735,SAVANNAH,GA,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
50,4ATX FOUNDATION,,83-4164008,AUSTIN,TX,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
51,4KIDS OF SOUTH FLORIDA INC,,61-1416525,FT LAUDERDALE,FL,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
52,4OCEAN CHARITABLE FOUNDATION INC,,88-2694307,BOCA RATON,FL,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
53,5 STONES CHURCH INC,,47-5563135,FRANKLIN,TN,501(C)3,32500,,FOR RECIPIENT'S EXEMPT PURPOSE
54,5 STRONG SCHOLARSHIP FOUNDATION,,47-1332851,COLLEGE PARK,GA,501(C)3,44400,,FOR RECIPIENT'S EXEMPT PURPOSE
55,50CAN INC,,27-3069592,WASHINGTON,DC,501(C)3,650000,,FOR RECIPIENT'S EXEMPT PURPOSE
56,516 ARTS,,20-8540744,ALBUQUERQUE,NM,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
57,54 BELOW INC,,88-2174944,NEW YORK,NY,501(C)3,93550,,FOR RECIPIENT'S EXEMPT PURPOSE
58,564 PARK AVENUE PRESERVATION FOUNDATION,,20-3719314,NEW YORK,NY,501(C)3,6500,,FOR RECIPIENT'S EXEMPT PURPOSE
59,57TH STREET CHILDRENS BOOK FAIR,,36-3748742,CHICAGO,IL,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
60,5TH AVENUE THEATRE ASSOCIATION,,91-1087612,SEATTLE,WA,501(C)3,30300,,FOR RECIPIENT'S EXEMPT PURPOSE
61,612 PROMISE,,33-3607805,MINNEAPOLIS,MN,501(C)3,20000,,FOR RECIPIENT'S EXEMPT PURPOSE
62,68 MINISTRIES INC,,20-8800123,SAINT JOHNS,FL,501(C)3,8000,,FOR RECIPIENT'S EXEMPT PURPOSE
63,7 LAKES ALLIANCE,,04-3047156,BELGRADE LKS,ME,501(C)3,85000,,FOR RECIPIENT'S EXEMPT PURPOSE
64,70 FACES MEDIA INC,,13-0887610,NEW YORK,NY,501(C)3,27300,,FOR RECIPIENT'S EXEMPT PURPOSE
65,80-20 EDUCATIONAL FOUNDATION,,20-2391770,ST PETERSBURG,FL,501(C)3,16500,,FOR RECIPIENT'S EXEMPT PURPOSE
66,805 UNDOCUFUND,,86-2230353,LOMPOC,CA,501(C)3,9000,,FOR RECIPIENT'S EXEMPT PURPOSE
67,826 BOSTON INC,,20-8065915,ROXBURY,MA,501(C)3,8750,,FOR RECIPIENT'S EXEMPT PURPOSE
68,826 NATIONAL,,26-3217538,SAN FRANCISCO,CA,501(C)3,1520000,,FOR RECIPIENT'S EXEMPT PURPOSE
69,826 VALENCIA,,04-3694151,SAN FRANCISCO,CA,501(C)3,1016250,,FOR RECIPIENT'S EXEMPT PURPOSE
70,826CHI INC NFP,,30-0248920,CHICAGO,IL,501(C)3,57800,,FOR RECIPIENT'S EXEMPT PURPOSE
71,826LA,,38-3722092,LOS ANGELES,CA,501(C)3,27000,,FOR RECIPIENT'S EXEMPT PURPOSE
72,88BIKES,,26-2740895,SEATTLE,WA,501(C)3,38973,,FOR RECIPIENT'S EXEMPT PURPOSE
73,A & M CHURCH OF CHRIST,,74-6023136,COLLEGE STA,TX,501(C)3,19750,,FOR RECIPIENT'S EXEMPT PURPOSE
74,A 1 LEARNING CONNECTIONS,,27-2109144,KNOXVILLE,TN,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
75,A A A WOMENS SERVICES INC,,58-1713618,CHATTANOOGA,TN,501(C)3,7500,,FOR RECIPIENT'S EXEMPT PURPOSE
76,A BEACON OF HOPE WOMENS CENTER INC,,58-2424267,JOHNS CREEK,GA,501(C)3,10900,,FOR RECIPIENT'S EXEMPT PURPOSE
77,A BETTER CHANCE IN LOWER MERION INC,,23-1917466,ARDMORE,PA,501(C)3,16940,,FOR RECIPIENT'S EXEMPT PURPOSE
78,A BETTER CHICAGO,,27-4499625,CHICAGO,IL,501(C)3,15500,,FOR RECIPIENT'S EXEMPT PURPOSE
79,A BOOK OF MY OWN,,99-0926228,ST LOUIS PARK,MN,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
80,A CHANCE OF A LIFETIME,,84-2493034,SANTA FE,NM,501(C)3,10000,,FOR RECIPIENT'S EXEMPT PURPOSE
81,A CHILDHOOD FOR CHILDREN INC,,45-5257972,GOTHA,FL,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
82,A CHILDS LIGHT,,81-1896477,MALVERN,PA,501(C)3,6000,,FOR RECIPIENT'S EXEMPT PURPOSE
83,A CHOICE FOR LIFE INC,,61-1142823,LOUISVILLE,KY,501(C)3,25000,,FOR RECIPIENT'S EXEMPT PURPOSE
84,A CHURCH INC,,82-3527387,SALIDA,CO,501(C)3,5200,,FOR RECIPIENT'S EXEMPT PURPOSE
85,A COMMUNITY CENTER ESTABLISHED BY THE SURGENT FAMI,,84-3503006,DEVON,PA,501(C)3,101000,,FOR RECIPIENT'S EXEMPT PURPOSE
86,A CONTEMPORARY THEATRE INC,,91-0787792,SEATTLE,WA,501(C)3,14000,,FOR RECIPIENT'S EXEMPT PURPOSE
87,A DOG NAMED BLACK JACK ANIMAL RESCUE RECOVERY INC,,99-0473116,TARPON SPGS,FL,501(C)3,12000,,FOR RECIPIENT'S EXEMPT PURPOSE
